"transaction_id","transaction_date","amount","currency_code","currency_symbol","description","category_id","category_name","is_expense","is_cancelled","is_refund","original_transaction_id","signed_amount","created_at","updated_at"
"26","2/1/2025 21:55:00","1153.01","TJS","ЅМ","Приобретение Покупки Аптека в центре #15","7","Покупки","t","f","f",,"-1153.01","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"27","28/11/2024 10:14:00","1790.29","RUB","₽","Расход Красота и здоровье Магазин улица #16","11","Красота и здоровье","t","f","f",,"-1790.29","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"28","15/8/2024 00:19:00","3097.76","RUB","₽","Оплата Онлайн-курсы Приложение аэропорт #17","23","Онлайн-курсы","t","f","f",,"-3097.76","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"29","3/12/2025 07:26:00","1213.8","RUB","₽","Оплата заказа Одежда и обувь Супермаркет улица #18","8","Одежда и обувь","t","f","f",,"-1213.8","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"30","5/7/2024 06:22:00","660.19","RUB","₽","Расход Фитнес Супермаркет вокзал #19","21","Фитнес","t","f","f",,"-660.19","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"31","1/5/2025 16:05:00","99.29","RUB","₽","Оплата Покупки Приложение возле дома #20","7","Покупки","t","f","f",,"-99.29","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"32","15/4/2024 01:25:00","145","RUB","₽","Приобретение Сувениры Кафе возле дома #21","27","Сувениры","t","f","t",,"-145","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"33","11/7/2025 09:27:00","187746.15","RUB","₽","Заказ Зарплата Офис возле дома #22","16","Зарплата","f","f","f",,"187746.15","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"34","3/6/2025 08:17:00","958.12","RUB","₽","Оплата заказа Красота и здоровье Приложение возле дома #23","11","Красота и здоровье","t","f","f",,"-958.12","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"35","22/5/2024 02:08:00","139.61","RUB","₽","Оплата заказа Сувениры Супермаркет возле дома #24","27","Сувениры","t","f","f",,"-139.61","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"36","31/5/2024 23:20:00","1452.03","RUB","₽","Расход Фитнес Онлайн вокзал #25","21","Фитнес","t","f","f",,"-1452.03","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"37","2/10/2024 05:25:00","932049.37","TJS","ЅМ","Заказ Зарплата Магазин вокзал #26","16","Зарплата","f","f","f",,"932049.37","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"38","10/6/2025 22:12:00","1437.16","RUB","₽","Оплата Красота и здоровье Супермаркет возле дома #27","11","Красота и здоровье","t","f","f",,"-1437.16","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"39","23/7/2024 06:50:00","377.31","RUB","₽","Оплата заказа Такси (Таджикистан) Онлайн улица #28","25","Такси (Таджикистан)","t","f","f",,"-377.31","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"40","3/11/2024 23:05:00","6969.27","TJS","ЅМ","Заказ Аренда жилья Сайт на рынке #29","24","Аренда жилья","t","f","f",,"-6969.27","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"41","2/11/2025 10:27:00","113.1","RUB","₽","Расход Кафе и рестораны Кафе в ТЦ #30","2","Кафе и рестораны","t","f","f",,"-113.1","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"42","16/1/2024 18:22:00","36.05","RUB","₽","Оплата заказа Такси Ресторан в ТЦ #31","4","Такси","t","f","f",,"-36.05","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"43","12/1/2025 02:41:00","112.62","RUB","₽","Оплата Продукты питания Магазин вокзал #32","1","Продукты питания","t","f","f",,"-112.62","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"44","9/4/2025 12:32:00","2357.19","RUB","₽","Оплата Одежда и обувь Кафе на рынке #33","8","Одежда и обувь","t","f","f",,"-2357.19","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"45","12/2/2025 17:15:00","154377.33","USD","$","Расход Одежда и обувь Сайт на рынке #34","8","Одежда и обувь","t","f","f",,"-154377.33","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"46","21/2/2024 10:16:00","922.63","RUB","₽","Оплата заказа Красота и здоровье Супермаркет онлайн #35","11","Красота и здоровье","t","f","f",,"-922.63","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"47","29/6/2025 07:14:00","63.19","RUB","₽","Заказ Местные продукты Офис на рынке #36","26","Местные продукты","t","f","f",,"-63.19","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"48","10/3/2025 08:55:00","111847.71","RUB","₽","Покупка Зарплата Аптека на рынке #37","16","Зарплата","f","f","f",,"111847.71","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"49","8/11/2024 05:09:00","13364.52","TJS","ЅМ","Приобретение Книги Кафе аэропорт #38","22","Книги","t","f","f",,"-13364.52","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"50","19/2/2025 20:19:00","857.87","RUB","₽","Оплата Красота и здоровье Онлайн улица #39","11","Красота и здоровье","t","f","f",,"-857.87","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"51","26/10/2025 03:51:00","988.99","RUB","₽","Расход Книги Приложение в ТЦ #40","22","Книги","t","f","f",,"-988.99","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"101","2/5/2024 03:00:00","2974.91","RUB","₽","Расход Электроника Онлайн на рынке #90","9","Электроника","t","f","f",,"-2974.91","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"52","5/1/2025 04:24:00","8038.26","TJS","ЅМ","Приобретение Красота и здоровье Сайт в центре #41","11","Красота и здоровье","t","f","f",,"-8038.26","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"53","17/2/2024 18:56:00","55.64","RUB","₽","Оплата заказа Местные продукты Супермаркет возле дома #42","26","Местные продукты","t","f","f",,"-55.64","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"54","7/5/2025 17:38:00","6441.14","RUB","₽","Оплата Электроника Онлайн онлайн #43","9","Электроника","t","f","f",,"-6441.14","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"55","28/8/2025 00:53:00","18333","RUB","₽","Приобретение Подарки Офис аэропорт #44","18","Подарки","f","f","f",,"18333","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"56","8/11/2025 21:15:00","2630.24","RUB","₽","Расход Связь и интернет Кафе вокзал #45","13","Связь и интернет","t","f","f",,"-2630.24","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"57","1/10/2024 18:00:00","3591.43","RUB","₽","Расход Связь и интернет Онлайн в центре #46","13","Связь и интернет","t","f","f",,"-3591.43","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"58","5/12/2023 15:02:00","51.38","RUB","₽","Покупка Местные продукты Аптека аэропорт #47","26","Местные продукты","t","f","f",,"-51.38","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"59","4/3/2024 02:33:00","134.15","RUB","₽","Расход Кафе и рестораны Онлайн в центре #48","2","Кафе и рестораны","t","f","f",,"-134.15","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"60","20/3/2024 10:08:00","6961.25","RUB","₽","Расход Электроника Сайт возле дома #49","9","Электроника","t","f","f",,"-6961.25","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"61","30/10/2025 17:37:00","67.57","RUB","₽","Приобретение Местные продукты Магазин аэропорт #50","26","Местные продукты","t","f","f",,"-67.57","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"62","1/1/2024 02:47:00","1197342.06","TJS","ЅМ","Покупка Зарплата Сайт улица #51","16","Зарплата","f","f","f",,"1197342.06","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"63","26/10/2025 19:29:00","97.6","RUB","₽","Оплата Сувениры Филиал возле дома #52","27","Сувениры","t","f","f",,"-97.6","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"64","2/5/2024 12:59:00","14205.76","TJS","ЅМ","Оплата Книги Аптека на рынке #53","22","Книги","t","f","f",,"-14205.76","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"65","4/8/2025 00:59:00","1770.5","RUB","₽","Покупка Красота и здоровье Онлайн онлайн #54","11","Красота и здоровье","t","f","f",,"-1770.5","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"67","12/11/2024 21:02:00","15962.91","RUB","₽","Расход Подарки Магазин вокзал #56","18","Подарки","f","f","f",,"15962.91","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"68","12/6/2024 10:32:00","144719.56","RUB","₽","Заказ Зарплата Кафе вокзал #57","16","Зарплата","f","f","f",,"144719.56","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"69","29/10/2024 22:01:00","61.3","RUB","₽","Заказ Покупки Приложение аэропорт #58","7","Покупки","t","f","f",,"-61.3","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"70","29/11/2024 02:04:00","1094.75","RUB","₽","Оплата заказа Аренда жилья Приложение в ТЦ #59","24","Аренда жилья","t","t","f",,"0","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"71","23/9/2025 00:30:00","730.06","RUB","₽","Приобретение Такси (Таджикистан) Приложение в ТЦ #60","25","Такси (Таджикистан)","t","f","f",,"-730.06","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"72","10/7/2024 07:11:00","769899.73","TJS","ЅМ","Оплата заказа Фриланс Супермаркет в центре #61","17","Фриланс","f","f","f",,"769899.73","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"73","4/12/2025 19:59:00","1182.39","RUB","₽","Оплата заказа Аптека Магазин онлайн #62","20","Аптека","t","f","f",,"-1182.39","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"74","8/10/2024 00:10:00","19093.23","TJS","ЅМ","Покупка Книги Филиал аэропорт #63","22","Книги","t","f","f",,"-19093.23","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"75","30/6/2024 14:09:00","763.36","TJS","ЅМ","Оплата Сувениры Филиал онлайн #64","27","Сувениры","t","f","f",,"-763.36","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"76","30/8/2024 21:34:00","541.31","TJS","ЅМ","Оплата заказа Местные продукты Супермаркет в ТЦ #65","26","Местные продукты","t","f","f",,"-541.31","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"77","6/9/2024 04:35:00","50.68","RUB","₽","Расход Общественный транспорт Офис аэропорт #66","5","Общественный транспорт","t","f","f",,"-50.68","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"78","24/10/2025 09:41:00","768.64","RUB","₽","Приобретение Фитнес Офис в центре #67","21","Фитнес","t","f","f",,"-768.64","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"79","26/1/2025 17:42:00","7031.38","RUB","₽","Приобретение Подарки Магазин улица #68","18","Подарки","f","f","f",,"7031.38","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"80","30/1/2024 07:41:00","2024.36","RUB","₽","Оплата Связь и интернет Аптека вокзал #69","13","Связь и интернет","t","f","f",,"-2024.36","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"81","11/3/2025 07:12:00","1619289.84","TJS","ЅМ","Расход Зарплата Кафе возле дома #70","16","Зарплата","f","f","f",,"1619289.84","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"82","4/2/2024 12:30:00","35509.83","TJS","ЅМ","Покупка Электроника Супермаркет аэропорт #71","9","Электроника","t","f","f",,"-35509.83","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"83","21/3/2025 22:25:00","650.94","RUB","₽","Покупка Развлечения Кафе вокзал #72","10","Развлечения","t","f","f",,"-650.94","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"84","12/10/2025 06:19:00","487742.37","TJS","ЅМ","Приобретение Фриланс Сайт возле дома #73","17","Фриланс","f","f","f",,"487742.37","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"85","25/6/2024 19:36:00","39.78","RUB","₽","Расход Такси Онлайн в центре #74","4","Такси","t","f","f",,"-39.78","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"86","2/11/2024 04:57:00","939.12","TJS","ЅМ","Заказ Сувениры Супермаркет вокзал #75","27","Сувениры","t","f","f",,"-939.12","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"87","28/5/2024 13:09:00","4360.47","RUB","₽","Оплата Связь и интернет Аптека улица #76","13","Связь и интернет","t","f","f",,"-4360.47","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"88","4/4/2024 14:05:00","121.14","RUB","₽","Приобретение Покупки Приложение аэропорт #77","7","Покупки","t","f","f",,"-121.14","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"89","31/12/2024 10:50:00","1426.3","RUB","₽","Расход Одежда и обувь Филиал вокзал #78","8","Одежда и обувь","t","f","f",,"-1426.3","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"90","24/4/2025 10:46:00","36246.78","TJS","ЅМ","Расход Онлайн-курсы Супермаркет аэропорт #79","23","Онлайн-курсы","t","f","f",,"-36246.78","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"91","30/10/2024 02:54:00","67.27","RUB","₽","Заказ Такси Супермаркет на рынке #80","4","Такси","t","f","f",,"-67.27","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"92","15/3/2025 05:23:00","947.9","RUB","₽","Расход Фитнес Ресторан улица #81","21","Фитнес","t","f","f",,"-947.9","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"93","2/10/2025 22:54:00","66.82","RUB","₽","Оплата заказа Общественный транспорт Офис аэропорт #82","5","Общественный транспорт","t","f","f",,"-66.82","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"94","8/2/2024 10:46:00","490.63","TJS","ЅМ","Оплата заказа Такси Приложение возле дома #83","4","Такси","t","f","f",,"-490.63","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"95","27/4/2024 14:28:00","74.1","RUB","₽","Оплата Местные продукты Филиал онлайн #84","26","Местные продукты","t","f","f",,"-74.1","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"96","8/5/2024 12:36:00","500.35","TJS","ЅМ","Оплата Покупки Аптека аэропорт #85","7","Покупки","t","f","f",,"-500.35","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"97","3/5/2024 12:14:00","1084.67","RUB","₽","Покупка Развлечения Сайт на рынке #86","10","Развлечения","t","f","f",,"-1084.67","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"98","5/1/2025 09:53:00","9698.01","RUB","₽","Покупка Путешествия Сайт возле дома #87","15","Путешествия","t","f","f",,"-9698.01","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"99","3/4/2025 16:27:00","25205.72","TJS","ЅМ","Оплата Онлайн-курсы Онлайн в ТЦ #88","23","Онлайн-курсы","t","f","f",,"-25205.72","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"100","29/10/2025 20:16:00","134.85","RUB","₽","Покупка Кафе и рестораны Онлайн вокзал #89","2","Кафе и рестораны","t","f","f",,"-134.85","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"102","15/6/2024 19:08:00","37.73","RUB","₽","Приобретение Транспорт Аптека аэропорт #91","3","Транспорт","t","f","f",,"-37.73","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"103","7/11/2025 23:06:00","1694.95","RUB","₽","Покупка Книги Филиал в центре #92","22","Книги","t","f","f",,"-1694.95","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"104","25/4/2024 10:39:00","1654.54","RUB","₽","Оплата заказа Аптека Онлайн в ТЦ #93","20","Аптека","t","f","f",,"-1654.54","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"105","16/5/2025 05:04:00","54133.41","TJS","ЅМ","Оплата заказа Электроника Ресторан улица #94","9","Электроника","t","f","f",,"-54133.41","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"106","24/10/2025 07:41:00","18721.84","TJS","ЅМ","Расход Аренда жилья Ресторан онлайн #95","24","Аренда жилья","t","f","f",,"-18721.84","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"107","3/4/2024 23:25:00","1115.22","RUB","₽","Расход Развлечения Онлайн на рынке #96","10","Развлечения","t","f","f",,"-1115.22","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"108","7/2/2024 04:11:00","81.26","RUB","₽","Оплата Сувениры Ресторан вокзал #97","27","Сувениры","t","f","f",,"-81.26","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"109","13/8/2025 21:21:00","149.65","RUB","₽","Заказ Сувениры Магазин онлайн #98","27","Сувениры","t","f","f",,"-149.65","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"110","5/12/2023 23:18:00","741.68","RUB","₽","Приобретение Машина Филиал онлайн #99","6","Машина","t","f","f",,"-741.68","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"111","24/11/2024 00:09:00","376.64","TJS","ЅМ","Приобретение Такси Филиал улица #100","4","Такси","t","f","f",,"-376.64","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"112","25/6/2024 20:11:00","1784.49","RUB","₽","Расход Аптека Кафе на рынке #101","20","Аптека","t","f","f",,"-1784.49","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"113","8/11/2024 05:37:00","980.9","TJS","ЅМ","Заказ Покупки Офис в центре #102","7","Покупки","t","f","f",,"-980.9","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"114","4/12/2024 16:51:00","747.84","RUB","₽","Расход Развлечения Онлайн онлайн #103","10","Развлечения","t","f","f",,"-747.84","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"115","16/3/2024 11:49:00","868134.24","TJS","ЅМ","Оплата заказа Фриланс Магазин в центре #104","17","Фриланс","f","f","f",,"868134.24","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"116","15/3/2025 12:56:00","2420.43","TJS","ЅМ","Покупка Такси (Таджикистан) Аптека аэропорт #105","25","Такси (Таджикистан)","t","f","f",,"-2420.43","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"117","28/5/2025 19:31:00","399282.44","TJS","ЅМ","Заказ Фриланс Аптека онлайн #106","17","Фриланс","f","f","f",,"399282.44","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"118","22/12/2023 11:08:00","73.71","RUB","₽","Оплата Покупки Магазин на рынке #107","7","Покупки","t","f","f",,"-73.71","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"119","6/2/2025 20:09:00","63979.13","RUB","₽","Оплата заказа Фриланс Супермаркет аэропорт #108","17","Фриланс","f","f","f",,"63979.13","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"120","3/8/2024 18:01:00","62.65","RUB","₽","Приобретение Транспорт Аптека возле дома #109","3","Транспорт","t","f","f",,"-62.65","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"121","28/8/2025 13:23:00","15507.15","RUB","₽","Приобретение Подарки Онлайн в центре #110","18","Подарки","f","f","f",,"15507.15","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"122","1/10/2024 14:50:00","7854.8","RUB","₽","Заказ Подарки Магазин вокзал #111","18","Подарки","f","f","f",,"7854.8","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"123","5/6/2024 12:46:00","11415.23","EUR","€","Расход Продукты питания Сайт онлайн #112","1","Продукты питания","t","f","f",,"-11415.23","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"124","20/12/2023 19:25:00","104.22","RUB","₽","Оплата заказа Сувениры Приложение улица #113","27","Сувениры","t","f","f",,"-104.22","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"125","30/8/2025 15:24:00","1756.54","RUB","₽","Заказ Одежда и обувь Аптека вокзал #114","8","Одежда и обувь","t","f","f",,"-1756.54","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"126","14/9/2025 08:11:00","115.19","RUB","₽","Оплата заказа Покупки Офис в ТЦ #115","7","Покупки","t","f","f",,"-115.19","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"127","24/3/2024 15:33:00","2849.18","RUB","₽","Оплата Электроника Приложение вокзал #116","9","Электроника","t","t","f",,"0","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"128","1/11/2024 13:38:00","524.81","TJS","ЅМ","Покупка Транспорт Сайт в ТЦ #117","3","Транспорт","t","f","f",,"-524.81","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"129","28/12/2024 22:31:00","1608.24","RUB","₽","Заказ Фитнес Сайт аэропорт #118","21","Фитнес","t","f","f",,"-1608.24","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"130","16/2/2024 06:55:00","6408.91","RUB","₽","Расход Подарки Аптека аэропорт #119","18","Подарки","f","f","f",,"6408.91","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"131","3/1/2025 04:34:00","2224.64","RUB","₽","Покупка Одежда и обувь Филиал в ТЦ #120","8","Одежда и обувь","t","f","f",,"-2224.64","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"132","29/7/2025 16:12:00","59.16","RUB","₽","Оплата заказа Общественный транспорт Онлайн в центре #121","5","Общественный транспорт","t","f","f",,"-59.16","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"133","3/4/2025 10:36:00","3512.55","TJS","ЅМ","Расход Такси (Таджикистан) Супермаркет улица #122","25","Такси (Таджикистан)","t","f","f",,"-3512.55","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
"134","6/12/2024 04:38:00","14730.1","TJS","ЅМ","Приобретение Красота и здоровье Онлайн онлайн #123","11","Красота и здоровье","t","f","f",,"-14730.1","5/12/2025 17:02:13.231799","5/12/2025 17:02:13.231799"
